mes,año,trends
12,2024,"Botafogo, Wanda, Gran Hermano, Colapinto, Bake Off, Parense de Manos, Lali, Navidad, Año Nuevo, Presupuesto, Larreta, Franco, Formula 1"
11,2024,"BrazilGP, F1, Verstappen, Colapinto, Gago, Boca, CyberMonday, Trump, Kamala, Dillom, Taylor, Spreen, Riestra, Inflacion, Tyson, Paul, Racing, Spotify"
10,2024,"Israel, Marcha, Rappi, Emilia, Messi, Tapia, AFIP, ARCA, F1, Aduana, Balon de Oro, Vinicius, Vini, Rodri, Rodrigo,Halloween, Disfraz"
9,2024,"Tini, Lolla, Minecraft, Travis, Jubilados, Colapinto, Hezbollah, Papa, Vaticano, Wall Street, "
8,2024,"Ferrari, Equi, Arabia, Fabiola, Alberto, Simuladores, Riquelme, Davo, Aguero, Oasis, Duo, Hermano, Franco, Colapinto, F1, "
1,2025,"Feliz Año, Lanata, Wanda, Icardi, Nvidia, Soda, Canada, Bad Bunny, Alpine, Lamine, Keylor Navas, Speed, Trump, Deepseek, IA, Feliz"
2,2025,"Neymar, San Valentin, Amor, Novios, Valentines, Libra, Crypto, Whatsapp, NY Times, "
3,2025,"Apagon, Luz, Bahia Blanca, 8deMarzo, Dia de la Mujer,  Lamine Yamal, Franco, Rutina, Agua, Hielo, Minecraft"
4,2025,"Malvinas, Dua Lipa, Tralala, Tralalero, Bombardiro, Bolsa Japon, Bolsa, Mercados, Chad, Ghibili, Chat GPT"
5,2025,"Dia del trabajador, 1 de Mayo, Eternauta, Fumata, Fumata Blanca, Papa, Vaticano, Lomonaco, F1, Franco, Darin, Mi Gusto, Empanadas, Formula 1, pipshash"
6,2025,"F1, Franco, Trump, Mastantuono, CR7, Visa, Ayrton, Colapinto, Carrera"